,Total Population,White Male,White Male Age 16 Years and over,county,state,6p_total,debtholder_county_count,mean_6p_held,debt_per_capita,debt_per_white_male
59,12836,3423,1876,Kent County,MD,158.2,1,158.2,0.012324711748208164,0.046216768916155414
60,8851,4286,2158,Kent County,RI,10284.750000000002,35,293.8500000000001,1.161987346062592,2.399615025664956
61,7366,1538,757,King George County,VA,319.17,1,319.17,0.043330165625848495,0.20752275682704813
62,36081,17781,9714,Lancaster County,PA,57920.39000000002,37,1565.4159459459465,1.605287824616835,3.2574315280355446
63,6302,2790,1253,Lancaster County,SC,5258.296666666667,4,1314.5741666666668,0.8343853803025495,1.8846941457586621
64,9337,4239,1969,Laurens County,SC,19.73,1,19.73,0.002113098425618507,0.004654399622552489
65,38635,19372,10135,Litchfield County,CT,31067.140000000003,43,722.4916279069768,0.804119063025754,1.6037136072682223
66,18962,7669,3677,Loudoun County,VA,109.5,1,109.5,0.005774707309355553,0.014278263137306037
67,11360,4927,2364,Mecklenburg County,NC,21.04,1,21.04,0.001852112676056338,0.00427034706718084
68,18828,8870,4730,Middlesex County,CT,43352.20000000002,80,541.9025000000003,2.302538772041641,4.887508455467871
69,42769,20691,11071,Middlesex County,MA,2715.59,6,452.59833333333336,0.06349435338679885,0.1312449857425934
70,15956,7370,3995,Middlesex County,NJ,2588.89,4,647.2225,0.16225181749811982,0.35127408412483035
71,16918,7521,3843,Monmouth County,NJ,235.01,1,235.01,0.013891121882019151,0.031247174577848688
72,18003,6030,3284,Montgomery County,MD,8964.500000000002,19,471.81578947368433,0.4979447869799479,1.48665008291874
73,22918,11383,6001,Montgomery County,PA,11484.5,11,1044.0454545454545,0.501112662535998,1.0089168057629798
74,19688,8720,3973,New Castle County,DE,2596.86,4,649.215,0.1319006501422186,0.29780504587155965
75,6837,1536,834,New Hanover County,NC,589.5600000000001,2,294.78000000000003,0.08623080298376481,0.383828125
76,30703,14684,7843,New Haven County,CT,38813.70000000002,78,497.6115384615387,1.2641663681073516,2.64326477798965
77,32918,15337,8189,New London County,CT,161101.91000000003,186,866.139301075269,4.894037001032871,10.504134446110715
78,33111,14382,8482,New York County,NY,492.21000000000004,2,246.10500000000002,0.014865452568632781,0.03422403003754693
79,14351,6112,3256,Newport County,RI,255949.12000000002,88,2908.5127272727277,17.834932757299146,41.87649214659686
80,24238,12411,6007,Northampton County,PA,3528.5699999999997,8,441.07124999999996,0.1455800808647578,0.28430988639110466
81,17147,8920,4191,Northumberland County,PA,7449.800000000001,12,620.8166666666667,0.434466670554616,0.8351793721973095
82,5212,2599,1222,Ohio County,VA,2206.72,1,2206.72,0.4233921719109746,0.849065025009619
83,12216,5142,2433,Orange County,NC,78.89,2,39.445,0.0064579240340537,0.015342279268767018
84,5439,1805,884,Perquimans County,NC,15.3,1,15.3,0.0028130170987313847,0.00847645429362881
85,54388,25393,14497,Philadelphia County,PA,1218181.6405000004,657,1854.157748097413,22.39798559424874,47.973128047099614
86,8270,2969,1461,Pitt County,NC,19.56,1,19.56,0.0023651753325272065,0.006588076793533176
87,29512,14029,7493,Plymouth County,MA,459.38,2,229.69,0.01556587150989428,0.03274502815596265
88,21344,5156,2653,Prince Georges County,MD,25155.119999999995,33,762.2763636363635,1.1785569715142428,4.8788052754072915
89,24376,11641,6155,Providence County,RI,156644.33000000007,253,619.1475494071149,6.4261704135215,13.45626063053003
90,15463,4132,2158,Queen Annes County,MD,9677.809999999998,4,2419.4524999999994,0.6258688482183274,2.3421611810261367
91,3930,1306,596,Richland County,SC,624.03,4,156.0075,0.15878625954198472,0.47781776416539046
92,11317,3819,1894,Richmond County,GA,157.339266,3,52.446422000000005,0.01390291296279933,0.04119907462686567
93,6211,2599,1188,Rockingham County,NC,38.83,1,38.83,0.006251811302527773,0.014940361677568294
94,43184,20808,11141,Rockingham County,NH,103314.17000000003,121,853.8361157024796,2.39241779362727,4.9651177431757025
95,7449,3468,1816,Rockingham County,VA,20.516233,1,20.516233,0.0027542264733521277,0.005915868800461361
96,15972,7227,3399,Rowan County,NC,188.07999999999998,4,47.019999999999996,0.011775607312797394,0.026024629860246295
97,15610,4093,2185,Somerset County,MD,5238.709999999999,5,1047.7419999999997,0.3355996156310057,1.2799193745419006
98,12296,5209,2819,Somerset County,NJ,16.67,1,16.67,0.001355725439167209,0.0032002303705125747
99,11252,2639,1361,Spotsylvania County,VA,550.06,1,550.06,0.048885531461073585,0.20843501326259944
100,15544,4043,2100,St Marys County,MD,7615.83,10,761.583,0.4899530365414308,1.8837076428394757
101,23611,11930,6012,Strafford County,NH,6328.49,14,452.03499999999997,0.26803142603024016,0.5304685666387259
102,44865,20699,11366,Suffolk County,MA,24077.510000000006,28,859.9110714285716,0.5366657751030872,1.163220928547273
103,19500,9902,4963,Sussex County,NJ,311.99,1,311.99,0.01599948717948718,0.031507776206826904
104,13084,3650,1938,Talbot County,MD,585.74,4,146.435,0.04476765515132987,0.16047671232876712
105,13251,6587,3449,Tolland County,CT,22018.489999999994,44,500.4202272727271,1.6616474228360119,3.3427189919538476
106,9379,2385,1067,Warren County,NC,127.28,2,63.64,0.013570743149589509,0.05336687631027254
107,15822,7601,3738,Washington County,MD,3760.76,3,1253.5866666666668,0.23769182151434712,0.4947717405604526
108,18323,8307,3709,Washington County,RI,4680.16,32,146.255,0.25542542160126613,0.5633995425544721
109,6115,2283,1064,Wayne County,NC,85.25,1,85.25,0.01394112837285364,0.03734121769601401
110,16019,8372,4013,Westmoreland County,PA,6557.57,8,819.69625,0.40936200761595604,0.7832740086000956
111,28881,13983,7436,Windham County,CT,25589.8,60,426.49666666666667,0.8860427270523874,1.8300650790245296
112,56764,28264,14600,Worcester County,MA,4260.5,7,608.6428571428571,0.07505637375801565,0.15073945655250495
113,11640,3901,1985,Worcester County,MD,2521.14,1,2521.14,0.21659278350515462,0.6462804409125865
114,37535,18640,9171,York County,PA,7998.329999999999,21,380.8728571428571,0.21308991607832686,0.429094957081545
