,town,state,county,geo_level
0,Hartford,CT,Hartford County,town
1,Bolton,CT,Tolland County,town
2,Rhode Island,RI,,state
5,Wethersfield,CT,Hartford County,town
6,Lyme,CT,New London County,town
8,New Haven,CT,New Haven County,town
9,Farmington,CT,Hartford County,town
10,New London,CT,New London County,town
14,Cornwall,CT,Litchfield County,town
18,Stamford,CT,Fairfield County,town
20,East Hartford,CT,Hartford County,town
22,Bristol,CT,Hartford County,town
24,Lebanon,CT,New London County,town
25,Windsor,CT,Hartford County,town
26,Southhampton,CT,Windham County,town
27,Suffield,CT,Hartford County,town
30,Chatham,CT,Middlesex County,town
32,Berlin,CT,Hartford County,town
33,Glastonbury,CT,Hartford County,town
35,Saybrook,CT,Middlesex County,town
37,Stafford,CT,Tolland County,town
40,Hebron,CT,Tolland County,town
41,Middletown,CT,Middlesex County,town
42,,CT,,state
46,East Windsor,CT,Hartford County,town
50,Boston,MA,Suffolk County,town
52,Norwich,CT,New London County,town
54,Springfield,MA,Hampshire County,town
60,Preston,CT,New London County,town
62,Sharon,CT,Litchfield County,town
64,Somers,CT,Tolland County,town
67,Goshen,CT,Litchfield County,town
69,Torrington,CT,Litchfield County,town
72,Watertown,CT,Litchfield County,town
78,Stonington,CT,New London County,town
79,Colchester,CT,New London County,town
85,Fairfield,CT,Fairfield County,town
87,Guilford,CT,New Haven County,town
91,Enfield,CT,Hartford County,town
93,Plainfield,CT,Windham County,town
98,Coventry,CT,Tolland County,town
103,State of New York,NY,,state
106,Groton,CT,New London County,town
110,Mansfield,CT,Tolland County,town
119,Bozrah,CT,New London County,town
120,Derby,CT,New Haven County,town
131,Huntington,CT,Fairfield County,town
132,Woodstock,CT,Windham County,town
134,Windham,CT,Windham County,town
148,Stratford,CT,Fairfield County,town
160,Brooklyn,CT,Windham County,town
168,State of Vermont,VT,,state
169,Haddam,CT,Middlesex County,town
178,Tolland,CT,Tolland County,town
179,Danbury,CT,Fairfield County,town
188,Newington,CT,Hartford County,town
192,Litchfield,CT,Litchfield County,town
205,Tyringham MA,MA,Berkshire County,town
207,Milford,CT,New Haven County,town
212,Pomfret,CT,Windham County,town
224,Killingworth,CT,Middlesex County,town
228,Sturbridge MA,MA,Worcester County,town
245,Newport State of Rhode Island,RI,Newport County,state
249,Granby,CT,Hartford County,town
272,Roxbury,CT,Litchfield County,town
274,New Hartford,CT,Litchfield County,town
297,Northampton,CT,Windham County,town
303,East Haddam,CT,Middlesex County,town
318,Greenwich,CT,Fairfield County,town
323,New Milford,CT,Litchfield County,town
336,Canaan,CT,Litchfield County,town
342,Montville,CT,New London County,town
355,Norwalk,CT,Fairfield County,town
361,Providence,RI,Providence County,town
390,City of New York,NY,New York County,town
392,Tyringham Massachusetts,MA,Berkshire County,town
399,Canterbury,CT,Windham County,town
400,Charleston State of New Hampshire,NH,Cheshire County,state
401,New York,NY,,state
403,Branford,CT,New Haven County,town
404,Ashford,CT,Windham County,town
433,Willington,CT,Tolland County,town
438,Hadley Massachusetts,MA,Hampshire County,town
458,Southbury,CT,New Haven County,town
476,Reading,CT,Fairfield County,town
489,Boston state Massachusetts,MA,Suffolk County,town
490,Worcester State Massachusetts,MA,Worcester County,state
495,North Haven,CT,New Haven County,town
513,Symsbury,CT,Hartford County,town
527,Woodbury,CT,Litchfield County,town
536,State Vermont,VT,,state
537,Vermont,VT,,state
544,Thompson,CT,Windham County,town
553,London,CT,New London County,town
611,Hampton,CT,Windham County,town
621,Franklin,CT,New London County,town
639,Portsmouth,NH,Rockingham County,town
644,North Hampshire,NH,,state_flag
666,Pittsfield,MA,Berkshire County,town
668,Cornwell,CT,Litchfield County,town
681,Cheshire,CT,New Haven County,town
691,Voluntown,CT,New London County,town
699,Cambridge,MA,Middlesex County,town
732,Salisbury,CT,Litchfield County,town
737,Brooklyne,CT,Windham County,town
745,Weston,CT,Fairfield County,town
749,Wallingford,CT,New Haven County,town
750,State of Georgia,GA,,state
755,Connecticut,CT,,state
756,East Haven,CT,New Haven County,town
763,Ellington,CT,Tolland County,town
769,Stonnington,CT,New London County,town
780,Durham,CT,Middlesex County,town
817,Portsmouth New Hampshire,NH,Rockingham County,town
833,Granby Massachusetts,MA,Hampshire County,town
840,Long Island,NY,,state
851,Long Meadow Massachusetts,MA,Hampshire County,town
855,State of New Hampshire,NH,,state
863,Waterbury,CT,New Haven County,town
898,Norfolk,CT,Litchfield County,town
935,Volentown,CT,New London County,town
943,Ridgefield,CT,Fairfield County,town
1007,Savannah,GA,Chatham County,town
1008,,GA,,state
1010,Charleston,SC,Charleston County,town
1011,Philadelphia,PA,Philadelphia County,town
1013,Maryland,MD,,state
1017,Effingham County,GA,Effingham County,county
1018,South Carolina,SC,,state
1022,Charleston  South Carolina,SC,Charleston County,town
1026,Augusta,GA,Richmond County,town
1028,Charleston South Carolina,SC,Charleston County,town
1046,Portsmouth Virginia,VA,Rockingham County,town
1050,Carolina,SC,,state_flag
1051,Columbia County,GA,Richmond County,county
1052,Baltimore,MD,Baltimore County,town
1057,Georgia,GA,,state
1072,George Town,MD,Cecil County,town
1073,Prince Georges County,MD,Prince Georges County,county
1074,Harford County,MD,Harford County,county
1075,St Marys County,MD,St Marys County,county
1077,Annapolis,MD,Anne Arundel County,town
1079,Frederick Town,MD,Frederick County,town
1080,Virginia,VA,,state
1081,Rotterdam,MD,,state
1085,Baltimore County,MD,Baltimore County,county
1088,Anne Arundel County,MD,Anne Arundel County,county
1090,Baltimore Town,MD,Baltimore County,town
1091,Frederick County,MD,Frederick County,county
1102,Somerset County,MD,Somerset County,county
1105,Bladensburg,MD,Prince Georges County,town
1106,Caroline County,MD,Caroline County,county
1107,Cambridge,MD,Dorchester County,town
1110,Virgina,VA,,state
1111,Georges Town,MD,Cecil County,town
1112,,MD,,state
1119,Washington County,MD,Washington County,county
1120,Kent County,MD,Kent County,county
1124,Charles County,MD,Charles County,county
1125,Montgomery County,MD,Montgomery County,county
1131,Calver County,MD,Calvert County,county
1133,Queen Annes County,MD,Queen Annes County,county
1150,Talbot County,MD,Talbot County,county
1151,Calvert County,MD,Calvert County,county
1160,Talbot,MD,Talbot County,county
1173,Frederick,MD,Frederick County,town
1189,Cecil County,MD,Cecil County,county
1215,Dorchester County,MD,Dorchester County,county
