,title_org,title_new,first_name_org,last_name_org,first_name_new,last_name_new,cleaning case,file_loc,org_index
0,,,Henry Wisner & Co,,henry,wisner,2,liquidated_debt_certificates_NY.xlsx,491
1,,,Henry Wisner & Co,,henry,wisner,2,liquidated_debt_certificates_NY.xlsx,492
2,,,Henry Wisner & Co,,henry,wisner,2,liquidated_debt_certificates_NY.xlsx,493
3,,,Henry Wisner & Co,,henry,wisner,2,liquidated_debt_certificates_NY.xlsx,494
4,,,Henry Wisner & Co,,henry,wisner,2,liquidated_debt_certificates_NY.xlsx,495
5,,,Henry Wisner & Co,,henry,wisner,2,liquidated_debt_certificates_NY.xlsx,496
6,,,Henry Wisner & Co,,henry,wisner,2,liquidated_debt_certificates_NY.xlsx,497
7,,,Henry Wisner & Co,,henry,wisner,2,liquidated_debt_certificates_NY.xlsx,498
8,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,731
9,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,732
10,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,733
11,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,734
12,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,735
13,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,736
14,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,737
15,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,738
16,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,739
17,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,740
18,,,James Vernon & Co,,james,vernon,2,liquidated_debt_certificates_NY.xlsx,741
19,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,742
20,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,743
21,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,744
22,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,745
23,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,746
24,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,747
25,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,748
26,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,749
27,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,750
28,,,John Taylor & Co,,john,taylor,2,liquidated_debt_certificates_NY.xlsx,751
29,,,Richard Lush & co,,richard,lush,2,liquidated_debt_certificates_NY.xlsx,752
30,,,Richard Lush & co,,richard,lush,2,liquidated_debt_certificates_NY.xlsx,753
31,,,Richard Lush & co,,richard,lush,2,liquidated_debt_certificates_NY.xlsx,754
32,,,Richard Lush & co,,richard,lush,2,liquidated_debt_certificates_NY.xlsx,755
33,,,Richard Lush & co,,richard,lush,2,liquidated_debt_certificates_NY.xlsx,756
34,,,Richard Lush & co,,richard,lush,2,liquidated_debt_certificates_NY.xlsx,757
